Fields,psych area,key topic,Target population (y/n),number,Title,Authors,Journal,Alert Month,Pulication date,Link,Abstract,
,,,,505,The Effects of Brief Waterpipe Tobacco Use Harm and Addiction Education Messages among Young Adult Waterpipe Tobacco Users,"Darren Mays, PhD, Kenneth P. Tercyak, Isaac M. Lipkus",Nicotine and Tobacco Research,,October 2015,https://academic.oup.com/ntr/article/18/5/777/2511594/The-Effects-of-Brief-Waterpipe-Tobacco-Use-Harm,"Introduction: This study investigated the immediate effects of brief education messages delivered online about harms and addictiveness of waterpipe tobacco use among young adult waterpipe users aged 18 to 30 years. Methods: Participants ( n = 327, mean age 24.8 years, 62.1% male, 77.6% white, 67.8% used waterpipe monthly, 26.4% weekly, 5.8% daily) were recruited online and randomized to one of three experimental conditions: (1) Control condition viewing no messages; (2) Harms condition viewing messages about harms of waterpipe tobacco; (3) Harms and addiction condition viewing messages about harms and addictiveness of waterpipe tobacco. Outcomes included perceived harm and addictiveness of waterpipe, worry about harm and addiction, and desire to quit. Results: Compared to the control condition, participants in the harms condition reported significantly greater perceived harm and addictiveness of waterpipe relative to cigarettes, perceived risk of harm and addiction, worry about harm and addiction, and desire to quit. There were few significant differences in these outcomes between participants in the harms condition and the harms and addiction condition. Mediation analyses suggest waterpipe tobacco use harm messages may increase desire to quit by producing greater worry about harm and addiction. Conclusions: Brief education messages about waterpipe tobacco use harm increased young adult’s perceptions of harm and addictiveness of waterpipe tobacco use and generated stronger desire to quit. The waterpipe tobacco use addiction messages tested had little added impact. Studies should prospectively examine the real-world impact of waterpipe tobacco use harm messages and investigate more effective strategies for designing addiction messages. Implications: This study demonstrates that brief education messages about waterpipe tobacco use harm can increase young adult waterpipe tobacco user’s perceptions of harm and addictiveness of waterpipe tobacco use and generate stronger desire to quit. The findings indicate messages on addictiveness of waterpipe tobacco use have no added impact on these outcomes.",
,,,,507,Micro-text classification between small and big data,"Markus Christen, Thomas Niederberger, Thomas Ott, Suleiman Aryobsei, Reto Hofstetter",Nonlinear Theory and Its Applications,,October 2015,https://www.jstage.jst.go.jp/article/nolta/6/4/6_556/_article,"Micro-texts emerging from social media platforms have become an important source for research. Automatized classification and interpretation of such micro-texts is challenging. The problem is exaggerated if the number of texts is at a medium level, making it too small for effective machine learning, but too big to be efficiently analyzed solely by humans. We present a semi-supervised learning system for micro-text classification that combines machine learning techniques with the unmatched human ability for making demanding, i.e. nonlinear decisions based on sparse data. We compare our system with human performance and a predefined optimal classifier using a validated benchmark data-set.",
,,,,508,The Double-Edged Sword of Genetic Accounts of Criminality: Causal attributions from genetic ascriptions affect legal decision-making,"Cheung BY, Heine SJ",Personality & social psychology bulletin,,December 2015,https://www.ncbi.nlm.nih.gov/pubmed/26498975,"Much debate exists surrounding the applicability of genetic information in the courtroom, making the psychological processes underlying how people consider this information important to explore. This article addresses how people think about different kinds of causal explanations in legal decision-making contexts. Three studies involving a total of 600 Mechanical Turk and university participants found that genetic, versus environmental, explanations of criminal behavior lead people to view the applicability of various defense claims differently, perceive the perpetrator's mental state differently, and draw different causal attributions. Moreover, mediation and path analyses highlight the double-edged nature of genetic attributions-they simultaneously reduce people's perception of the perpetrator's sense of control while increasing people's tendencies to attribute the cause to internal factors and to expect the perpetrator to reoffend. These countervailing relations, in turn, predict sentencing in opposite directions, although no overall differences in sentencing or ultimate verdicts were found.",
,,,,509,Trait mindfulness correlates with individual differences in multisensory imagery vividness,"Daniel A. Kharlasa, Paul Frewen",Personality and Individual Differences,,April 2016,http://www.sciencedirect.com/science/article/pii/S0191886915006005,"Background:Trait mindfulness is a multifaceted construct, although its association with measures of personality and individual differences remains poorly understood. Given that guided mindfulness meditations (MM) frequently involve focused imagery and are typically experienced as pleasant, we predicted that visual and embodied imagery vividness would mediate the association between mindful observing traits and pleasant experiences in response to guided MM. Study objectives and methods:137 undergraduate students and 371 participants from Amazon's MTurk web service completed questionnaire measures of mindfulness traits and multisensory imagery vividness. They then completed an 8-10 min MM involving guided imagery of visualizing and embodying the positive characteristics of natural objects (a mountain, sun, or tree). Participants rated the level of imagery vividness they experienced in the visual and embodied modalities as well as their emotional responses to the MM. Results:Mindful “observing” correlated with increased imagery vividness, both in response to standardized questionnaire and a guided MM. As predicted, vividness of visual and particularly embodied imagery mediated the association between trait mindful observing and experienced pleasantness in response to the MM. Conclusions:Individual differences in vividness of visual and embodied imagery are a construct of relevance to understanding mindfulness both as a state and trait.",
,,,,510,Design of a Third-Party Task Recommendation Service,David Geiger,Progress in IS,,,https://link.springer.com/chapter/10.1007/978-3-319-22291-2_4,"Building on the insights that were gained during the literature review, this chapter describes the prototypical design of a third-party task recommendation service called metacrowd, which integrates with existing crowdsourcing systems that do not feature built-in recommendation mechanisms. In line with the identified need for large-scale field research, metacrowd provides a platform for studies in real-world, productive contexts. The setup permits complete control over the recommender system design and, consequently, facilitates the extensive collection of related research data and the systematic study of specific design aspects.",
,,,,511,Building Blocks of the Maker Movement: Modularity Enhances Creative Confidence During Prototyping,"Joel Sadler, Lauren Shluzas, Paulo Blikstein, Riitta Katila",Design Thinking Research,,,https://link.springer.com/chapter/10.1007/978-3-319-19641-1_10,"Can we enable anyone to create anything? The prototyping tools of a rising Maker Movement are enabling the next generation of artists, designers, educators, and engineers to bootstrap from napkin sketch to functional prototype. However for technical novices, the process of including electronic components in prototypes can hamper the creative process with technical details. Software and electronic modules can reduce the amount of work a designer must perform in order to express an idea, by condensing the number of choices into a physical and cognitive “chunk.” What are the core building blocks that might make up electronics toolkits of the future, and what are the key affordances? We present the idea that modularity, the ability to freely recombine elements, is a key affordance for novice prototyping with electronics. We present the results of a creative prototyping experiment (N = 86) that explores how tool modularity influences the creative design process. Using a browser-based crowd platform (Amazon’s Mechanical Turk), participants created electric “creature circuits” with LEDs in a virtual prototyping environment. We found that increasing the modularity of LED components (i) increased the quantity of prototypes created by study participants; and (ii) increased participants’ degree of perceived self-efficacy, self-reported creative feeling, and cognitive flow. The results highlight the importance of tool modularity in creative prototyping.",
,,,,512,Personalized Task Recommendation in the Field,David Geiger,Progress in IS,,,https://link.springer.com/chapter/10.1007/978-3-319-22291-2_5,"This chapter evaluates the potential of the developed prototype to realize and study personalized task recommendation on existing crowdsourcing platforms and thereby improve the match between contributors and available tasks. To this intent, the following sections present a sequence of three studies that were conducted along the process of field testing and deploying the metacrowd service on the Mechanical Turk platform. Section 5.1 first describes a pilot study that gathered initial feedback from a small group of experienced contributors. Section 5.2 then lays out the details of a large-scale survey on general task search behavior and on the perceived utility of the metacrowd service. Section 5.3, finally, analyzes a dataset that was gathered during an extended period of productive use and discusses the challenges identified during the evaluation.",
,,,,513,Self-serving dishonest decisions can show facilitated cognitive dynamics,"Maryam Tabatabaeian, Rick Dale & Nicholas D. Duran",Cognitive Processing,,August 2015,http://cognaction.org/rdmaterials/php.cv/pdfs/article/taba_et_al_2015.pdf,"We use a novel task to test two competing hypotheses concerning the cognitive processes involved in dishonesty. Many existing accounts of deception imply that in order to act dishonestly one has to use cognitive control to overcome a bias toward the truth, which results in more time and effort. A recent hypothesis suggests that lying in order to serve self-interest may be a rapid, even automatic tendency taking less time than refraining from lying. In the current study, we track the action dynamics of potentially dishonest decisions to investigate the underlying cognitive processes. Participants are asked to privately predict the outcome of a virtual coin flip, report their accuracy and receive bonus credit for accurate predictions. The movements of the computer cursor toward the target answer are recorded and used to characterize the dynamics of decisions. Our results suggest that when a self-serving condition holds, decisions that have a high probability of being dishonest take less time and experience less hesitation.",
,,,,514,An experiment testing six formats of 101-point rating scales,"Mingnan Liua, Frederick G. Conrad",Computers in Human Behavior,,February 2016,http://www.sciencedirect.com/science/article/pii/S0747563215301679,"Although 101-point feeling thermometer questions are frequently used in population surveys and political polls, the measurement error associated with this question type has raised some concerns. One challenge of using this type of question arises from the tendency for respondents to round their answers. That is, rather than providing a precise answer, respondents provide an answer that is divisible by 5 which on at least some occasions is rounded up or down from a more precise (unrounded) value. Several national surveys currently use an open-ended numeric text input format for the feeling thermometer questions, which may exacerbate the response rounding. This study presents findings from two Web survey experiments that examine six formats of 101-point rating scales. The findings show that visual analog scales (VAS) result in fewer rounded answers than open-ended numeric text input, while item nonresponse rates are similar across these questions types. Also, responding to VAS tends to be easier than open-ended format. This study concludes by discussing the application of VAS for feeling thermometer questions and future research directions.",
Psych,Clinical ,trauma,no,515,Conditional and indirect effects of age of first exposure on PTSD symptoms,"Laura E. Miller-Graff, Kathryn Scrafford, Catherine Rice",Child Abuse & Neglect,,January 2016,http://www.sciencedirect.com/science/article/pii/S014521341500318X,"Childhood violence exposure (CVE) in formative developmental years may have potent effects on severity and complexity of post-traumatic stress symptoms (PTSS) in adulthood, yet little research has examined the role of age of first exposure in the context of polyvictimization or gone beyond an examination of direct effects. The current study examines the specific associations between age of first exposure, total CVE, and posttraumatic stress symptoms in adulthood. Further, the conditional and indirect effects of age of first exposure on posttraumatic stress symptoms were examined. We hypothesized that age of first exposure to violence would be associated with higher total violence exposure across childhood, thereby predicting current posttraumatic stress symptom severity (i.e., indirect effect). We also postulated that age of first exposure would affect the relationship between total violence exposure and posttraumatic stress symptoms such that earlier exposure would exacerbate the effects of violence exposure (i.e., conditional effect). Participants included 269 violence-exposed adults recruited through MTurk; the mean age of first CVE was 6 years (SD = 3.29). Conditional process models indicated that age of first exposure was significantly associated with higher total childhood violence exposure, which in turn, was significantly associated with current posttraumatic stress symptoms in all domains. Further, a conditional effect of age of first exposure was present such that the relationship between total exposure to violence and symptoms of hyperarousal was stronger for those first exposed at earlier ages. Findings provide support suggesting the particular potency of early trauma on regulatory response systems.",
,,,,516,A Framework for Collocation Error Correction in Web Pages and Text Documents,"Alan Varghese, Aparna S. Varde, Jing Peng, Eileen Fitzpatrick",ACM SIGKDD Explorations Newsletter,,June 2015,http://dl.acm.org/citation.cfm?id=2830548,"Much of the English in text documents today comes from nonnative speakers. Web searches are also conducted very often by non-native speakers. Though highly qualified in their respective fields, these speakers could potentially make errors in collocation, e.g., ""dark money"" and ""stock agora"" (instead of the more appropriate English expressions ""black money"" and ""stock market"" respectively). These may arise due to literal translation from the respective speaker's native language or other factors. Such errors could cause problems in contexts such as querying over Web pages, correct understanding of text documents and more. This paper proposes a framework called CollOrder to detect such collocation errors and suggest correctly ordered collocated responses for improving the semantics. This framework integrates machine learning approaches with natural language processing techniques, proposing suitable heuristics to provide responses to collocation errors, ranked in the order of correctness. We discuss the proposed framework with algorithms and experimental evaluation in this paper. We claim that it would be useful in semantically enhancing Web querying e.g., financial news, online shopping etc. It would also help in providing automated error correction in machine translated documents and offering assistance to people using ESL tools.",
,,,,517,Decision importance as a cue for deferral,"Job M. T. Krijnen, Marcel Zeelenberg, Seger M. Breugelmans",Judgment and Decision Making,,September 2015,http://journal.sjdm.org/13/131031a/jdm131031a.pdf,"A series of 7 experiments found that people defer important decisions more than unimportant decisions, and that this is independent of choice set composition. This finding persists even when deferral does not provide more flexibility (Experiment 2), when deferral has potential disadvantages (Experiment 3), and when deferral has no material benefits and is financially costly (Experiment 4). The effect of importance on deferral was independent of potential choice conflict (Experiment 5 & 6). The only exception was a situation in which one alternative was clearly dominant; here decision importance did not affect the likelihood of deferral (Experiment 7). These results suggest that people use decision importance as a cue for deferral: more important decisions should take more time and effort.",
,,,,518,Psychological empowerment on social media: Who are the empowered users?,Zongchao Li,Public Relations Review,,March 2016,http://www.sciencedirect.com/science/article/pii/S0363811115001101,"This paper introduces the psychological empowerment framework from community psychology to the social media context. Intrapersonal empowerment and interactional empowerment are tested as two focal components of the empowerment process at the individual level. This paper aims to assess the connections between active and passive social media use and psychological empowerment. An online survey was conducted through an online panel (MTurk) with 371 effective responses. Results showed that active use was positively related to both intrapersonal and interactional empowerment, while only a weak association was found between passive use and interactional empowerment.",
,,,,519,Differential item functioning analysis of the Vanderbilt Expertise Test for cars,Woo-Yeol Lee; Sun-Joo Cho; Rankin W. McGugin; Ana Beth Van Gulick; Isabel Gauthier,Journal of Vision,,September 2015,http://jov.arvojournals.org/article.aspx?articleid=2449199,"The Vanderbilt Expertise Test for cars (VETcar) is a test of visual learning for contemporary car models. We used item response theory to assess the VETcar and in particular used differential item functioning (DIF) analysis to ask if the test functions the same way in laboratory versus online settings and for different groups based on age and gender. An exploratory factor analysis found evidence of multidimensionality in the VETcar, although a single dimension was deemed sufficient to capture the recognition ability measured by the test. We selected a unidimensional three-parameter logistic item response model to examine item characteristics and subject abilities. The VETcar had satisfactory internal consistency. A substantial number of items showed DIF at a medium effect size for test setting and for age group, whereas gender DIF was negligible. Because online subjects were on average older than those tested in the lab, we focused on the age groups to conduct a multigroup item response theory analysis. This revealed that most items on the test favored the younger group. DIF could be more the rule than the exception when measuring performance with familiar object categories, therefore posing a challenge for the measurement of either domain-general visual abilities or category-specific knowledge.",
,,,,520,Cooperative Equilibrium beyond Social Dilemmas: Pareto Solvable Games,"Valerio Capraro, Maria Polukarov, Matteo Venanzi, Nicholas R. Jennings",arXiv,,September 2015,https://arxiv.org/pdf/1509.07599.pdf,"A recently introduced concept of cooperative equilibrium [7], based on the assumption that players have a natural attitude to cooperation, has been proven a powerful tool in predicting human behaviour in social dilemmas. In this paper, we extend this idea to more general game models, termed Pareto solvable games, which in particular include the Nash Bargaining Problem and the Ultimatum Game. We show that games in this class possess a unique pure cooperative equilibrium. Furthermore, for the Ultimatum Game, this notion appears to be strongly correlated with a suitably defined variant of the Dictator Game. We support this observation with the results of a behavioural experiment conducted using Amazon Mechanical Turk, which demonstrates that our approach allows for making statistically precise predictions of average behaviour in such settings.",
,,,,521,Toward gamification of knowledge base construction,"Daiki Kurita, Boonsita Roengsamut, Kazuhiro Kuwabara, Hung-Hsuan Huang",Lecture Notes in Computer Science,,September 2015,http://ieeexplore.ieee.org/document/7276721/,"Knowledge is integral to an intelligent system. However, constructing a knowledge base often involves great cost and substantial effort on the part of human experts in the target domain. In this paper, we present an approach that harnesses the power of casual users to construct the knowledge base. The users answer a simple series of questions and, by aggregating their answers, we obtain the information necessary to augment and refine the knowledge base. To motivate the users to engage in the process, we presented the questions via a gamification approach. Our experiments with the knowledge base of an Apartment FAQ system substantiate the potential of our proposed approach.",
Psych/Social Media,,,,522,"The independent relationship between trouble controlling Facebook use, time spent on the site and distress","FREDRICK MUENCH, MARIE HAYES, ALEXIS KUERBIS and SIJING SHAO",Journal of Behavioral Addictions,,March 2015,http://www.akademiai.com/doi/pdf/10.1556/2006.4.2015.013,"There is an emerging literature base on the relationship between maladaptive traits and “addiction” to social networking sites. These studies have operationalized addiction as either spending excessive amounts of time on social networking sites (SNS) or trouble controlling SNS use, but have not assessed the unique contribution of each of these constructs on outcomes in the same models. Moreover, these studies have exclusively been conducted with younger people rather than a heterogeneous sample. This study examined the independent relationship of a brief Facebook addiction scale, time spent on Facebook, and Facebook checking on positive and negative social domains, while controlling for self-esteem and social desirability. Methods: Participants were recruited using e-mail, SNS posts and through Amazon’s MTurk system. The sample included 489 respondents ages from 18 to approximately 70, who completed a 10–15 minute survey. Results: Results indicate that neither time spent on Facebook nor Facebook checking was significantly associated with either self-esteem, fear of negative social evaluation or social comparison, while SNS addiction symptoms were each independently associated with Facebook usage. Neither time spent on Facebook nor SNS addiction symptoms were associated with positive social relationships. Discussion: Overall results suggest that time on SNS and trouble controlling use should be considered independent constructs and that interventions should target underlying loss of control as the primary intervention target above ego syntonic time spent on the site.",
,,,,523,The effects of the privacy attacker identity and individual user characteristics on the value of information privacy,"Kenneth D. Nguyen, Heather Rosoff, Richard S. John",Computers in Human Behavior,,February 2016,http://www.sciencedirect.com/science/article/pii/S074756321530162X,"Past research indicates that people have strong concerns about their information privacy. This study applies multi-attribute utility theory to conceptualize the concern for smartphone privacy and examine how people value smartphone privacy protection. We also investigated how the value of privacy varied by the identity of a privacy attacker and individual user characteristics. Respondents were given a hypothetical choice between an encrypted smartphone and a regular one. The encrypted smartphone increases the level of privacy protection at the cost of lower usability, greater monthly service payments, slower speed, and additional inconvenience. Respondents were asked to simply make binary choices between hypothetical pairs of smartphone configurations. The results show that respondents were willing to make non-trivial sacrifices for smartphone privacy protection. Interestingly, specifying the identity of an attacker collecting information decreased the value of privacy protection compared to not specifying the identity of the attacker. We also observed effects of individual user characteristics, including general privacy concern, age, and self-reported political attitude, on the value of smartphone privacy protection. These results offer greater insight on how people value their privacy.",
,,,,524,The Moderating Role of Individual Differences in Responses to Benefit and Temporal Framing of Messages Promoting Residential Energy Saving,"Xiaojing Xua, Laura M. Arpan, Chien-fei Chen",Computers in Human Behavior,,February 2016,http://www.sciencedirect.com/science/article/pii/S074756321530162X,"Past research indicates that people have strong concerns about their information privacy. This study applies multi-attribute utility theory to conceptualize the concern for smartphone privacy and examine how people value smartphone privacy protection. We also investigated how the value of privacy varied by the identity of a privacy attacker and individual user characteristics. Respondents were given a hypothetical choice between an encrypted smartphone and a regular one. The encrypted smartphone increases the level of privacy protection at the cost of lower usability, greater monthly service payments, slower speed, and additional inconvenience. Respondents were asked to simply make binary choices between hypothetical pairs of smartphone configurations. The results show that respondents were willing to make non-trivial sacrifices for smartphone privacy protection. Interestingly, specifying the identity of an attacker collecting information decreased the value of privacy protection compared to not specifying the identity of the attacker. We also observed effects of individual user characteristics, including general privacy concern, age, and self-reported political attitude, on the value of smartphone privacy protection. These results offer greater insight on how people value their privacy.",
,,,,525,Forecasting forecasts: The trend effect,"Sigrid Møyner Hohle, Karl Halvor Teigen",Judgment and Decision Making,,September 2015,http://journal.sjdm.org/15/15624a/jdm15624a.html,"People often make predictions about the future based on trends they have observed in the past. Revised probabilistic forecasts can be perceived by the public as indicative of such a trend. In five studies, we describe experts who make probabilistic forecasts of various natural events (effects of climate changes, landslide and earthquake risks) at two points in time. Prognoses that have been upgraded or downgraded from T1 to T2were in all studies expected to be updated further, in the same direction, later on (atT3). Thus, two prognoses were in these studies enough to define a trend, forming the basis for future projections. This “trend effect” implies that non-experts interpret recent forecast in light of what the expert said in the past, and think, for instance, that a “moderate” landslide risk will cause more worry if it has previously been low than if it has been high. By transcending the experts’ most recent forecasts the receivers are far from conservative, and appear to know more about the experts’ next prognoses than the experts themselves.",
,,,,526,Revisiting the Effect of Anthropomorphizing a Social Cause Campaign,"Lisa A. Williams, Barbara Masser, Jessie Sun",Plos,,September 2015,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0138886,"Recent research suggests that anthropomorphism can be harnessed as a tool to boost intentions to comply with social cause campaigns. Drawing on the human tendency to extend moral concern to entities portrayed as humanlike, it has been argued that adding personified features to a social campaign elevates anticipated guilt at failing to comply, and this subsequently boosts intentions to comply with that campaign. The present research aimed to extend extant research by disentangling the effects of emotional and non-emotional anthropomorphism, and differentiating amongst other emotional mechanisms of the anthropomorphism-compliance effect (namely, anticipated pride and anticipated regret). Experiment 1 (N = 294) compared the effectiveness of positive, negative, and emotionally-neutral anthropomorphized campaign posters for boosting campaign compliance intentions against non-anthropomorphized posters. We also measured potential mechanisms including anticipated guilt, regret, and pride. Results failed to support the anthropomorphism-compliance effect, and no changes in anticipated emotion according to anthropomorphism emerged. Experiments 2 (N = 150) and 3 (N = 196) represented further tests of the anthropomorphism-compliance effect. Despite high statistical power and efforts to closely replicate the conditions under which the anthropomorphism-compliance effect had been previously observed, no differences in compliance intention or anticipated emotion according to anthropomorphism emerged. A meta-analysis of the effects of anthropomorphism on compliance and anticipated emotion across the three experiments revealed effect size estimates that did not differ significantly from zero. The results of these three experiments suggest that the anthropomorphism-compliance effect is fragile and perhaps subject to contextual and idiographic influences. Thus, this research provides important insight and impetus for future research on the applied and theoretical utility of anthropomorphizing social cause campaigns.",
,,,,527,The development of stereotype content: The use of warmth and competence in assessing social groups,"Gina Roussos, Yarrow Dunham",Journal of Experimental Child Psychology,,January 2016,http://www.sciencedirect.com/science/article/pii/S0022096515002027,"Past research suggests that warmth and competence are primary dimensions of social perception used by adults to understand social groups. The current study investigated whether children use these two dimensions to structure their representations of familiar groups. Results indicated that adult warmth and competence judgments were independent from one another and placed groups in warmth by competence space in ways consistent with past work. However, children showed some sensitivity to both dimensions but did not treat them as independent. Children’s judgments of competence were closely aligned with adult judgments, but their judgments of warmth were influenced by factors that solely influenced adult judgments of competence. These data suggest that children develop an understanding of competence as an independent dimension prior to developing an understanding of warmth as an independent dimension and that their judgments of warmth may reflect a more general summing of all available evaluative information. Implications for children’s developing understanding of the broader intergroup landscape are discussed.",
,,,,528,Seeing Red: Anger Increases How Much Republican Identification Predicts Partisan Attitudes and Perceived Polarization,"Michaela Huber, Leaf Van Boven, Bernadette Park, William T. Pizzi",Plos,,September 2015,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0139193,"We examined the effects of incidental anger on perceived and actual polarization between Democrats and Republicans in the context of two national tragedies, Hurricane Katrina (Study 1) and the mass shooting that targeted Representative Gabrielle Giffords in Arizona (Study 2). We hypothesized that because of its relevance to intergroup conflict, incidental anger exacerbates the political polarization effects of issue partisanship (the correlation between partisan identification and partisan attitudes), and, separately, the correlation between conservative partisan identification and perceived polarization between Democrats and Republicans. We further hypothesized that these effects would be strongest for Republican identification because Republican leaders were targets of public criticism in both tragedies and because conservative (Republican) ideology tends to be more sensitive to threat. In the studies, participants first completed an emotion induction procedure by recalling autobiographical events that made them angry (Studies 1 & 2), sad (Studies 1 & 2), or that involved recalling emotionally neutral events (Study 2). Participants later reported their attitudes regarding the two tragedies, their perceptions of the typical Democrat’s and Republican’s attitudes on those issues, and their identification with the Democratic and Republican parties. Compared with incidental sadness (Studies 1 and 2) and a neutral condition (Study 2), incidental anger exacerbated the associations between Republican identification and partisan attitudes, and, separately between Republican identification and perceived polarization between the attitudes of Democrats and Republicans. We discuss implications for anger’s influence on political attitude formation and perceptions of group differences in political attitudes.",
,,,,529,Does the Presence of Social Agents Improve Cognitive Performance on a Vigilance Task?,"Arielle R. Mandell, Melissa A. Smith, Molly C. Martini, Tyler H. Shaw, Eva Wiese",Social Robotics,,October 2015,https://link.springer.com/chapter/10.1007/978-3-319-25554-5_42,"Humans are historically bad at performing cognitive tasks that require sustained attention. Social facilitation theory states that the real, imagined, or implied presence of other social agents can improve cognitive performance. Typically these agents are other humans, but the current study explores the possibility that robots can trigger social facilitation effects. We hypothesized that more humanlike social stimuli are (1) more likely to be ascribed internal states (e.g., having a mind, having emotions, having preferences), and (2) more likely to induce social facilitation on a vigilance task. Experiment 1 investigates the relationship between physical humanness and attributions of intentionality by comparing ratings of internal states for three agents (human, robot, and nonsocial). In Experiment 2, we examine whether physical humanness results in improved performance on a vigilance task through social facilitation. While Experiment 1 showed the expected positive relationship between human appearance and mind attribution, the degree to which mental states were attributed to an agent did not influence performance on the vigilance task. The implications for social robotics are discussed.",
,,,,530,Timing Is Key for Robot Trust Repair,"Paul Robinette, Ayanna M. Howard, Alan R. Wagner",Social Robotics,,October 2015,https://link.springer.com/chapter/10.1007/978-3-319-25554-5_57,"Even the best robots will eventually make a mistake while performing their tasks. In our past experiments, we have found that even one mistake can cause a large loss in trust by human users. In this paper, we evaluate the effects of a robot apologizing for its mistake, promising to do better in the future, and providing additional reasons to trust it in a simulated office evacuation conducted in a virtual environment. In tests with 319 participants, we find that each of these techniques can be successful at repairing trust if they are used when the robot asks the human to trust it again, but are not successful when used immediately after the mistake. The implications of these results are discussed.",
,,,,531,A Hero in the Name of Truth: Mortality Salience Increases Heroic Perceptions of Edward Snowden,Simon Schindler & Marc-André Reinhard,International Journal of Psychological Studies,,October 2015,http://www.ccsenet.org/journal/index.php/ijps/article/view/50521,"Edward Snowden has made significant personal sacrifices by revealing the truth about secret surveillance activities by the National Security Agency. According to research on terror management theory, reminding people of their own death strengthens worldview-bolstering reactions, such as following cultural standards and supporting people who uphold those standards. Assuming Snowden’s disclosures were motivated by fighting for the truth and for the value of honesty, and further that cultural values become more important under mortality salience, we hypothesized that reminding people on their own death increases heroic perceptions of Snowden. As predicted, results of our study indicated that participants in the mortality salience condition reported stronger heroic perceptions compared to a control group. This effect was found to be independent of patriotism or political orientation.",
,,,,532,Closer to the Creator: Temporal Contagion Explains the Preference for Earlier Serial Numbers,"Rosanna K. Smith, George E. Newman, Ravi Dhar",Journal of Consumer Rearch,,October 2015,https://academic.oup.com/jcr/article-abstract/42/5/653/1857765/Closer-to-the-Creator-Temporal-Contagion-Explains,"Consumers demonstrate a robust preference for items with earlier serial numbers (e.g., No. 3/100) over otherwise identical items with later serial numbers (e.g., No. 97/100) in a limited edition set. This preference arises from the perception that items with earlier serial numbers are temporally closer to the origin (e.g., the designer or artist who produced it). In turn, beliefs in contagion (the notion that objects may acquire a special essence from their past) lead consumers to view these items as possessing more of a valued essence. Using an archival data set and five lab experiments, the authors find the preference for items with earlier serial numbers holds across multiple consumer domains including recorded music, art, and apparel. Further, this preference appears to be independent from inferences about the quality of the item, salience of the number, or beliefs about market value. Finally, when serial numbers no longer reflect beliefs about proximity to the origin, the preference for items with earlier serial numbers is attenuated. The authors conclude by demonstrating boundary conditions of this preference in the context of common marketing practices.",
,,,,533,Evaluating Topic Model Interpretability from a Primary Care Physician Perspective,"Corey W. Arnold, Andrea Oh, Shawn Chen, William Speier",Computer Methods and Programs in Biomedicine,,October 2015,http://www.cmpbjournal.com/article/S0169-2607(15)00274-6/abstract,"Probabilistic topic models provide an unsupervised method for analyzing unstructured text. These models discover semantically coherent combinations of words (topics) that could be integrated in a clinical automatic summarization system for primary care physicians performing chart review. However, the human interpretability of topics discovered from clinical reports is unknown. Our objective is to assess the coherence of topics and their ability to represent the contents of clinical reports from a primary care physician's point of view. Methods: Three latent Dirichlet allocation models (50 topics, 100 topics, and 150 topics) were fit to a large collection of clinical reports. Topics were manually evaluated by primary care physicians and graduate students. Wilcoxon Signed-Rank Tests for Paired Samples were used to evaluate differences between different topic models, while differences in performance between students and primary care physicians (PCPs) were tested using Mann–Whitney U tests for each of the tasks. Results: While the 150-topic model produced the best log likelihood, participants were most accurate at identifying words that did not belong in topics learned by the 100-topic model, suggesting that 100 topics provides better relative granularity of discovered semantic themes for the data set used in this study. Models were comparable in their ability to represent the contents of documents. Primary care physicians significantly outperformed students in both tasks. Conclusion: This work establishes a baseline of interpretability for topic models trained with clinical reports, and provides insights on the appropriateness of using topic models for informatics applications. Our results indicate that PCPs find discovered topics more coherent and representative of clinical reports relative to students, warranting further research into their use for automatic summarization.",
